AutoRange,Off
Start Time,2024-12-2 18:15:15.476195
Firmware Version,K-01.07.03-01.00-01.10-01.05
ResolutionEnum,FAST
Serial Number,CN63230110
Stop Time,2024-12-2 18:17:51.250538
Model,EDU34450A
Range(ADC),3.0
TriggerSource,Immediate
Address,USB0::0x2A8D::0x8E01::CN63230110::0::INSTR
TriggerDelay,0.0
Sample Count,156

Time Stamp(s),Records,DC Current(ADC),
2024-12-2 18:15:15.476195,1,1.93877104e-05,
2024-12-2 18:15:16.493534,2,1.78336288e-05,
2024-12-2 18:15:17.496944,3,1.78002572e-05,
2024-12-2 18:15:18.494568,4,0.000242804926,
2024-12-2 18:15:19.540901,5,0.000243326532,
2024-12-2 18:15:20.619748,6,0.000233499078,
2024-12-2 18:15:21.617003,7,0.000246035402,
2024-12-2 18:15:22.642788,8,0.000241138594,
2024-12-2 18:15:23.643414,9,0.000235634003,
2024-12-2 18:15:24.640487,10,0.000277167851,
2024-12-2 18:15:25.536559,11,0.000237936569,
2024-12-2 18:15:26.546771,12,0.000237555807,
2024-12-2 18:15:27.554631,13,0.000229781116,
2024-12-2 18:15:28.559465,14,0.000246620552,
2024-12-2 18:15:29.575545,15,0.000241940783,
2024-12-2 18:15:30.576601,16,0.000264471099,
2024-12-2 18:15:31.575640,17,0.000218448712,
2024-12-2 18:15:32.576260,18,0.000240953521,
2024-12-2 18:15:33.680213,19,0.000223535142,
2024-12-2 18:15:34.679920,20,0.000242872937,
2024-12-2 18:15:35.694972,21,0.000252307409,
2024-12-2 18:15:36.693069,22,0.000262251839,
2024-12-2 18:15:37.692406,23,0.000236255265,
2024-12-2 18:15:38.635213,24,1.01262517e-05,
2024-12-2 18:15:39.593465,25,-8.85845649e-06,
2024-12-2 18:15:40.599982,26,-8.60315495e-06,
2024-12-2 18:15:41.615641,27,2.44976415e-05,
2024-12-2 18:15:42.621799,28,1.48267522e-05,
2024-12-2 18:15:43.593684,29,2.2238351e-05,
2024-12-2 18:15:44.618015,30,1.31391099e-06,
2024-12-2 18:15:45.616966,31,-1.17205706e-05,
2024-12-2 18:15:46.618353,32,1.2646836e-05,
2024-12-2 18:15:47.723144,33,0.00244204157,
2024-12-2 18:15:48.739123,34,0.00596265276,
2024-12-2 18:15:49.721271,35,0.0166650154,
2024-12-2 18:15:50.719593,36,0.0706507667,
2024-12-2 18:15:51.716706,37,0.0668251385,
2024-12-2 18:15:52.635289,38,0.0654365477,
2024-12-2 18:15:53.635903,39,0.067441875,
2024-12-2 18:15:54.657968,40,0.0514134327,
2024-12-2 18:15:55.649967,41,0.0508859591,
2024-12-2 18:15:56.658593,42,0.0509051982,
2024-12-2 18:15:57.658508,43,0.0513180053,
2024-12-2 18:15:58.654497,44,0.0510783336,
2024-12-2 18:15:59.657097,45,0.0507639708,
2024-12-2 18:16:00.720739,46,0.0509627583,
2024-12-2 18:16:01.770655,47,0.0506297489,
2024-12-2 18:16:02.778930,48,0.0510723421,
2024-12-2 18:16:03.772178,49,0.0511079484,
2024-12-2 18:16:04.773514,50,0.0507727242,
2024-12-2 18:16:05.755608,51,0.0510953496,
2024-12-2 18:16:06.700499,52,0.0766436095,
2024-12-2 18:16:07.695095,53,0.0664999516,
2024-12-2 18:16:08.697229,54,0.0524873705,
2024-12-2 18:16:09.697582,55,0.0508543526,
2024-12-2 18:16:10.692247,56,0.0507316031,
2024-12-2 18:16:11.700296,57,0.0511080701,
2024-12-2 18:16:12.720511,58,0.0515434627,
2024-12-2 18:16:13.712127,59,0.050837099,
2024-12-2 18:16:14.818974,60,0.051151549,
2024-12-2 18:16:15.817457,61,0.0513293105,
2024-12-2 18:16:16.820100,62,0.050985592,
2024-12-2 18:16:17.834703,63,0.0510557589,
2024-12-2 18:16:18.836860,64,0.0506697974,
2024-12-2 18:16:19.732749,65,0.0508632115,
2024-12-2 18:16:20.739773,66,0.0511854455,
2024-12-2 18:16:21.730024,67,0.0793543607,
2024-12-2 18:16:22.731093,68,0.0646911475,
2024-12-2 18:16:23.755093,69,0.0535872807,
2024-12-2 18:16:24.756282,70,0.0508236651,
2024-12-2 18:16:25.772523,71,0.0511735987,
2024-12-2 18:16:26.769214,72,0.0516435942,
2024-12-2 18:16:27.810487,73,0.0510508128,
2024-12-2 18:16:28.894108,74,0.0509926077,
2024-12-2 18:16:29.897516,75,0.0511622072,
2024-12-2 18:16:30.913008,76,0.0508420824,
2024-12-2 18:16:31.914299,77,0.0511327849,
2024-12-2 18:16:32.888972,78,0.0511790707,
2024-12-2 18:16:33.832017,79,0.051241787,
2024-12-2 18:16:34.831735,80,0.0509465909,
2024-12-2 18:16:35.834593,81,0.0509529765,
2024-12-2 18:16:36.835049,82,0.0798441051,
2024-12-2 18:16:37.827233,83,0.0647223559,
2024-12-2 18:16:38.853841,84,0.0506601773,
2024-12-2 18:16:39.851394,85,0.0512969987,
2024-12-2 18:16:40.854520,86,0.0517383688,
2024-12-2 18:16:41.948988,87,0.0510219013,
2024-12-2 18:16:42.950989,88,0.0511344648,
2024-12-2 18:16:43.974986,89,0.0513453951,
2024-12-2 18:16:44.974743,90,0.0508810293,
2024-12-2 18:16:45.966947,91,0.0509373539,
2024-12-2 18:16:46.894532,92,0.0508559697,
2024-12-2 18:16:47.911160,93,0.0509849573,
2024-12-2 18:16:48.911202,94,0.0509630521,
2024-12-2 18:16:49.904860,95,0.0508838307,
2024-12-2 18:16:50.905589,96,0.0508749933,
2024-12-2 18:16:51.914007,97,0.0792031618,
2024-12-2 18:16:52.911668,98,0.0646887457,
2024-12-2 18:16:53.909715,99,0.0510773204,
2024-12-2 18:16:54.951317,100,0.0508119101,
2024-12-2 18:16:56.025344,101,0.0507154458,
2024-12-2 18:16:57.036714,102,0.0512452897,
2024-12-2 18:16:58.028785,103,0.0506383155,
2024-12-2 18:16:59.052087,104,0.0507539044,
2024-12-2 18:17:00.052532,105,0.0510588298,
2024-12-2 18:17:00.948249,106,0.0506666792,
2024-12-2 18:17:01.955077,107,0.0506874924,
2024-12-2 18:17:02.951500,108,0.0507428655,
2024-12-2 18:17:03.949820,109,0.0509809152,
2024-12-2 18:17:04.950083,110,0.0507254587,
2024-12-2 18:17:05.949430,111,0.0509338213,
2024-12-2 18:17:06.950760,112,0.0506581346,
2024-12-2 18:17:07.949965,113,0.0506359855,
2024-12-2 18:17:09.052873,114,0.0507614307,
2024-12-2 18:17:10.054685,115,0.0506625124,
2024-12-2 18:17:11.043561,116,0.0518407521,
2024-12-2 18:17:12.044307,117,0.0759128072,
2024-12-2 18:17:13.063042,118,0.0639901732,
2024-12-2 18:17:14.008188,119,0.0510730015,
2024-12-2 18:17:14.968504,120,0.0511531325,
2024-12-2 18:17:15.995942,121,0.0508839339,
2024-12-2 18:17:16.988152,122,0.0508393959,
2024-12-2 18:17:17.989552,123,0.0511935109,
2024-12-2 18:17:18.989341,124,0.0509829917,
2024-12-2 18:17:19.993626,125,0.0508457089,
2024-12-2 18:17:20.992745,126,0.0510216797,
2024-12-2 18:17:22.007361,127,0.0511415453,
2024-12-2 18:17:23.104954,128,0.0510518313,
2024-12-2 18:17:24.113613,129,0.0511755432,
2024-12-2 18:17:25.106447,130,0.0508860811,
2024-12-2 18:17:26.106505,131,0.0583475429,
2024-12-2 18:17:27.129988,132,0.0727932003,
